"","Slice","Count","cID","timePt","cellLine","drug","l2","nl2","day"
"1","WellR06-C02H2B_day0",30,"1",0,"SKMEL5","PLX4720",4.90689059560852,-3.87446911791614,0
"2","WellR06-C02H2B_day1",40,"1",1,"SKMEL5","PLX4720",5.32192809488736,-3.4594316186373,1.712545833
"3","WellR06-C02H2B_day2",46,"1",2,"SKMEL5","PLX4720",5.52356195605701,-3.25779775746765,2.695325
"4","WellR06-C02H2B_day3",90,"1",3,"SKMEL5","PLX4720",6.49185309632967,-2.28950661719499,3.764479167
"5","WellR06-C02H2B_day4",166,"1",4,"SKMEL5","PLX4720",7.37503943134692,-1.40632028217774,4.903575
"6","WellR06-C02H2B_day5",289,"1",5,"SKMEL5","PLX4720",8.17492568250068,-0.606434031023982,5.954283333
"7","WellR06-C02H2B_day6",440,"1",6,"SKMEL5","PLX4720",8.78135971352466,0,6.897975
"8","WellR06-C02H2B_day7",442,"1",7,"SKMEL5","PLX4720",8.78790255939143,0.00654284586677178,6.982258333
"9","WellR06-C02H2B_day8",559,"1",8,"SKMEL5","PLX4720",9.12670447284319,0.345344759318531,7.6926375
"10","WellR06-C02H2B_day9",779,"1",9,"SKMEL5","PLX4720",9.60547951806167,0.824119804537009,8.924766667
"11","WellR06-C02H2B_day10",881,"1",10,"SKMEL5","PLX4720",9.78299820892041,1.00163849539575,9.731066667
"12","WellR06-C02H2B_day11",979,"1",11,"SKMEL5","PLX4720",9.93516504960369,1.15380533607904,10.7534125
"13","WellR06-C02H2B_day12",963,"1",12,"SKMEL5","PLX4720",9.91139198784346,1.1300322743188,10.99522083
"14","WellR06-C02H2B_day13",1022,"1",13,"SKMEL5","PLX4720",9.99717948093762,1.21581976741296,11.78024167
"15","WellR06-C02H2B_day14",1150,"1",14,"SKMEL5","PLX4720",10.1674181458317,1.38605843230708,12.73057917
"16","WellR06-C02H2B_day15",1204,"1",15,"SKMEL5","PLX4720",10.2336196767597,1.45225996323504,12.9729875
"17","WellR06-C02H2B_day16",1163,"1",16,"SKMEL5","PLX4720",10.1836353814732,1.40227566794856,13.70632917
"18","WellR06-C02H2B_day17",1229,"1",17,"SKMEL5","PLX4720",10.2632692003727,1.481909486848,14.875775
"19","WellR06-C02H2B_day18",1307,"1",18,"SKMEL5","PLX4720",10.3520434257954,1.57068371227077,16.12682917
"20","WellR06-C02H2B_day19",1326,"1",19,"SKMEL5","PLX4720",10.3728650601126,1.59150534658793,16.7051625
"21","WellR06-C02H2B_day20",1197,"1",20,"SKMEL5","PLX4720",10.2252074369435,1.44384772341884,17.764825
"22","WellR06-C02H2B_day0",3,"2",0,"SKMEL5","PLX4720",1.58496250072116,-5.23521646169403,0
"23","WellR06-C02H2B_day1",6,"2",1,"SKMEL5","PLX4720",2.58496250072116,-4.23521646169403,1.712545833
"24","WellR06-C02H2B_day2",9,"2",2,"SKMEL5","PLX4720",3.16992500144231,-3.65025396097288,2.695325
"25","WellR06-C02H2B_day3",17,"2",3,"SKMEL5","PLX4720",4.08746284125034,-2.73271612116485,3.764479167
"26","WellR06-C02H2B_day4",37,"2",4,"SKMEL5","PLX4720",5.20945336562895,-1.61072559678624,4.903575
"27","WellR06-C02H2B_day5",58,"2",5,"SKMEL5","PLX4720",5.85798099512757,-0.962197967287616,5.954283333
"28","WellR06-C02H2B_day6",113,"2",6,"SKMEL5","PLX4720",6.82017896241519,0,6.897975
"29","WellR06-C02H2B_day7",119,"2",7,"SKMEL5","PLX4720",6.89481776330794,0.0746388008927559,6.982258333
"30","WellR06-C02H2B_day8",181,"2",8,"SKMEL5","PLX4720",7.49984588708321,0.679666924668018,7.6926375
"31","WellR06-C02H2B_day9",182,"2",9,"SKMEL5","PLX4720",7.5077946401987,0.687615677783509,8.924766667
"32","WellR06-C02H2B_day10",234,"2",10,"SKMEL5","PLX4720",7.8703647195834,1.05018575716822,9.731066667
"33","WellR06-C02H2B_day11",287,"2",11,"SKMEL5","PLX4720",8.16490692667569,1.3447279642605,10.7534125
"34","WellR06-C02H2B_day12",314,"2",12,"SKMEL5","PLX4720",8.29462074889163,1.47444178647644,10.99522083
"35","WellR06-C02H2B_day13",345,"2",13,"SKMEL5","PLX4720",8.43045255166553,1.61027358925034,11.78024167
"36","WellR06-C02H2B_day14",419,"2",14,"SKMEL5","PLX4720",8.71080643369935,1.89062747128416,12.73057917
"37","WellR06-C02H2B_day15",431,"2",15,"SKMEL5","PLX4720",8.7515440590891,1.93136509667391,12.9729875
"38","WellR06-C02H2B_day16",488,"2",16,"SKMEL5","PLX4720",8.93073733756289,2.1105583751477,13.70632917
"39","WellR06-C02H2B_day17",550,"2",17,"SKMEL5","PLX4720",9.10328780841202,2.28310884599683,14.875775
"40","WellR06-C02H2B_day18",572,"2",18,"SKMEL5","PLX4720",9.15987133677839,2.3396923743632,16.12682917
"41","WellR06-C02H2B_day19",597,"2",19,"SKMEL5","PLX4720",9.22158712126481,2.40140815884962,16.7051625
"42","WellR06-C02H2B_day20",517,"2",20,"SKMEL5","PLX4720",9.01402047031493,2.19384150789975,17.764825
"43","WellR06-C03H2B_day0",3,"3",0,"SKMEL5","PLX4720",1.58496250072116,-3.96962635095648,0
"44","WellR06-C03H2B_day1",4,"3",1,"SKMEL5","PLX4720",2,-3.55458885167764,1.712545833
"45","WellR06-C03H2B_day2",7,"3",2,"SKMEL5","PLX4720",2.8073549220576,-2.74723392962003,2.695325
"46","WellR06-C03H2B_day3",10,"3",3,"SKMEL5","PLX4720",3.32192809488736,-2.23266075679028,3.764479167
"47","WellR06-C03H2B_day4",19,"3",4,"SKMEL5","PLX4720",4.24792751344359,-1.30666133823405,4.903575
"48","WellR06-C03H2B_day5",28,"3",5,"SKMEL5","PLX4720",4.8073549220576,-0.747233929620034,5.954283333
"49","WellR06-C03H2B_day6",47,"3",6,"SKMEL5","PLX4720",5.55458885167764,0,6.897975
"50","WellR06-C03H2B_day7",43,"3",7,"SKMEL5","PLX4720",5.4262647547021,-0.12832409697554,6.982258333
"51","WellR06-C03H2B_day8",51,"3",8,"SKMEL5","PLX4720",5.6724253419715,0.117836490293858,7.6926375
"52","WellR06-C03H2B_day9",66,"3",9,"SKMEL5","PLX4720",6.04439411935845,0.489805267680816,8.924766667
"53","WellR06-C03H2B_day10",70,"3",10,"SKMEL5","PLX4720",6.12928301694497,0.574694165267329,9.731066667
"54","WellR06-C03H2B_day11",67,"3",11,"SKMEL5","PLX4720",6.06608919045777,0.511500338780134,10.7534125
"55","WellR06-C03H2B_day12",74,"3",12,"SKMEL5","PLX4720",6.20945336562895,0.654864513951313,10.99522083
"56","WellR06-C03H2B_day13",87,"3",13,"SKMEL5","PLX4720",6.44294349584873,0.88835464417109,11.78024167
"57","WellR06-C03H2B_day14",85,"3",14,"SKMEL5","PLX4720",6.4093909361377,0.854802084460064,12.73057917
"58","WellR06-C03H2B_day15",84,"3",15,"SKMEL5","PLX4720",6.39231742277876,0.837728571101123,12.9729875
"59","WellR06-C03H2B_day16",106,"3",16,"SKMEL5","PLX4720",6.7279204545632,1.17333160288556,13.70632917
"60","WellR06-C03H2B_day17",112,"3",17,"SKMEL5","PLX4720",6.8073549220576,1.25276607037997,14.875775
"61","WellR06-C03H2B_day18",138,"3",18,"SKMEL5","PLX4720",7.10852445677817,1.55393560510053,16.12682917
"62","WellR06-C03H2B_day19",153,"3",19,"SKMEL5","PLX4720",7.25738784269265,1.70279899101501,16.7051625
"63","WellR06-C03H2B_day20",161,"3",20,"SKMEL5","PLX4720",7.33091687811462,1.77632802643698,17.764825
"64","WellR06-C03H2B_day0",4,"4",0,"SKMEL5","PLX4720",2,-5.20945336562895,0
"65","WellR06-C03H2B_day1",9,"4",1,"SKMEL5","PLX4720",3.16992500144231,-4.03952836418664,1.712545833
"66","WellR06-C03H2B_day2",16,"4",2,"SKMEL5","PLX4720",4,-3.20945336562895,2.695325
"67","WellR06-C03H2B_day3",25,"4",3,"SKMEL5","PLX4720",4.64385618977472,-2.56559717585423,3.764479167
"68","WellR06-C03H2B_day4",48,"4",4,"SKMEL5","PLX4720",5.58496250072116,-1.62449086490779,4.903575
"69","WellR06-C03H2B_day5",84,"4",5,"SKMEL5","PLX4720",6.39231742277876,-0.817135942850189,5.954283333
"70","WellR06-C03H2B_day6",148,"4",6,"SKMEL5","PLX4720",7.20945336562895,0,6.897975
"71","WellR06-C03H2B_day7",157,"4",7,"SKMEL5","PLX4720",7.29462074889163,0.0851673832626769,6.982258333
"72","WellR06-C03H2B_day8",225,"4",8,"SKMEL5","PLX4720",7.81378119121704,0.604327825588087,7.6926375
"73","WellR06-C03H2B_day9",274,"4",9,"SKMEL5","PLX4720",8.09803208296053,0.888578717331577,8.924766667
"74","WellR06-C03H2B_day10",315,"4",10,"SKMEL5","PLX4720",8.29920801838728,1.08975465275833,9.731066667
"75","WellR06-C03H2B_day11",336,"4",11,"SKMEL5","PLX4720",8.39231742277876,1.18286405714981,10.7534125
"76","WellR06-C03H2B_day12",335,"4",12,"SKMEL5","PLX4720",8.38801728534514,1.17856391971619,10.99522083
"77","WellR06-C03H2B_day13",344,"4",13,"SKMEL5","PLX4720",8.4262647547021,1.21681138907315,11.78024167
"78","WellR06-C03H2B_day14",378,"4",14,"SKMEL5","PLX4720",8.56224242422107,1.35278905859212,12.73057917
"79","WellR06-C03H2B_day15",379,"4",15,"SKMEL5","PLX4720",8.56605403817109,1.35660067254214,12.9729875
"80","WellR06-C03H2B_day16",373,"4",16,"SKMEL5","PLX4720",8.54303182025524,1.33357845462629,13.70632917
"81","WellR06-C03H2B_day17",442,"4",17,"SKMEL5","PLX4720",8.78790255939143,1.57844919376248,14.875775
"82","WellR06-C03H2B_day18",437,"4",18,"SKMEL5","PLX4720",8.7714894695006,1.56203610387165,16.12682917
"83","WellR06-C03H2B_day19",443,"4",19,"SKMEL5","PLX4720",8.79116288855502,1.58170952292607,16.7051625
"84","WellR06-C03H2B_day20",422,"4",20,"SKMEL5","PLX4720",8.72109918870719,1.51164582307824,17.764825
"85","WellR06-C03H2B_day0",2,"5",0,"SKMEL5","PLX4720",1,-3.95419631038687,0
"86","WellR06-C03H2B_day1",2,"5",1,"SKMEL5","PLX4720",1,-3.95419631038687,1.712545833
